u,v,w
0,1,1.8432827536383611
0,37,9.789709031016207
0,34,9.845948724626798
0,15,4.629965589855082
0,24,3.2339977408422884
0,11,1.2924421691988885
0,36,6.541016744756931
0,13,5.336127003949679
0,31,4.852609491331604
1,40,0.4301645412914612
1,11,1.4845264382180157
1,18,7.506777183548307
1,43,5.248484512402181
2,23,2.74257105834232
2,42,1.1648863065969983
2,18,4.863778299928815
2,25,7.442694272216748
3,24,6.020514791125413
3,16,0.9895698025282218
4,26,6.301662331961539
4,30,8.931658282934325
4,27,2.014598622989637
4,44,5.658056769717277
4,40,1.4963679612557867
5,38,5.400467136968156
6,15,0.035949234094799776
6,20,7.8895309395841196
6,25,2.9907906741739207
6,29,2.649634898545714
6,34,8.817963805159541
6,19,9.483051065505194
7,35,9.755461909141204
7,31,7.796879654420254
7,36,4.89951718993269
8,23,7.448367780888452
8,20,7.935114777264713
8,37,9.7672666008868
9,29,8.41963257488224
9,44,1.8103340606584073
9,11,6.190702228701623
10,28,9.376520565280567
10,44,6.117465166753753
10,25,9.08548003540517
10,18,5.258509240507534
11,19,7.095718130627265
11,42,9.363958201784842
12,17,5.565939112544378
12,22,3.7982586389652506
12,16,9.351635317929398
12,32,0.5976289099921706
13,32,5.681552196319691
13,22,5.531205465015272
13,20,5.81069694278858
14,20,4.6189297267812695
14,24,5.397252939053812
14,23,9.640486112317085
14,27,1.6307259444642719
15,29,4.272107692434416
15,35,7.4595467362717685
16,33,4.383351923829796
16,39,1.8243379318352382
16,38,7.362162949248706
16,19,8.064524504113892
16,29,8.844332909056705
17,19,1.2385723116908576
17,28,3.1803328626347662
17,31,7.298387236681084
17,26,3.922415957329346
18,26,4.453838709761593
18,28,4.700018051850914
18,35,4.509606471849981
18,45,0.7850063770089333
19,33,0.3158026609928555
19,44,5.906657666856115
19,41,8.275477436086003
19,39,9.223015910166701
19,24,2.365890314320458
19,38,4.24331584178355
20,22,9.288361788359245
20,27,6.652710282216079
20,30,8.448895848971885
20,25,1.7614545355859679
20,35,5.5505927660433425
20,29,7.58275628255488
21,22,4.566324071263248
21,32,8.912397408522123
21,28,4.835680781669144
21,45,7.2161701816574055
22,31,9.359248511889799
22,35,5.6780618721378815
23,40,2.424341915426491
23,37,8.784104446100805
24,32,3.6659313013090458
24,33,7.538861859882786
24,35,5.979660714559284
25,44,0.8933250258306846
25,27,6.68625376151836
26,32,9.505888995271295
26,33,6.258060359928768
26,30,8.57855728557788
26,37,3.4358113386009945
27,29,0.9984931999986335
28,40,4.844538966266997
28,36,2.2744138847546247
28,45,8.510048862562615
29,30,9.473815465724236
29,39,3.3265160418249264
30,34,3.2250556613543413
30,31,6.984867693825892
31,34,1.7809660637610358
31,32,4.367196180312347
31,40,8.256238842989621
33,37,6.262112589732748
33,40,7.218783967910594
34,43,9.507962001766437
36,42,2.7337997262989147
37,44,3.7588262008450277
39,40,5.62747717789727
