u,v,w
0,4,0.5627370112468277
1,0,0.21652409573348685
1,2,2.8550906517699906
1,6,4.337262083669161
1,0,8.090699645685755
2,5,2.942701753926358
2,3,2.2659154531713077
2,0,5.4162514704996045
2,5,9.47601523440725
3,2,7.010990810161822
3,2,4.144910297734242
3,7,5.1824558193686485
3,5,8.498552690827395
3,11,7.836170315829145
3,6,0.25060770621774253
3,4,0.21263367345105366
4,11,5.21783837831337
4,8,9.933038010160102
5,1,1.708626288813655
5,1,9.879668717631606
5,7,4.7013955727826975
6,11,1.1530104413172537
6,10,4.912072213059765
6,3,3.1225131666673867
7,1,3.5932587182473332
7,5,0.615248157875159
7,0,9.875567434616908
7,0,7.6581666154041175
7,0,5.252444008487806
8,10,3.615124860803236
8,7,2.8437594414968315
9,5,7.1136380319434345
9,1,2.7094852944674286
9,4,8.35789697950217
9,4,1.8527867662292286
11,8,8.856085631757123
